plm,k,cell,objective,seed,fmax,auprc,smin,wall_seconds,status
ankh_large,5,nk-mfo,binary,42,0.7636378943921527,,,8.2,ok
ankh_large,5,lk-bpo,binary,42,0.677287357733767,,,9.6,ok
ankh_large,5,lk-cco,binary,42,0.7847306171484367,,,4.5,ok
ankh_large,5,lk-mfo,binary,42,0.696847889737578,,,8.7,ok
ankh_large,5,pk-bpo,binary,42,0.3077270753726156,,,430.6,ok
ankh_large,5,pk-cco,binary,42,0.3209483753825963,,,271.2,ok
ankh_large,5,pk-mfo,binary,42,0.4125879778621989,,,93.4,ok
ankh_large,5,nk-bpo,lambdarank,42,0.5421289258142601,,,6.6,ok
ankh_large,5,nk-cco,lambdarank,42,0.7566452581355747,,,4.5,ok
ankh_large,5,nk-mfo,lambdarank,42,0.6993708749208231,,,12.9,ok
ankh_large,5,lk-bpo,lambdarank,42,0.6573398676857609,,,7.1,ok
ankh_large,5,lk-cco,lambdarank,42,0.7665825132994855,,,3.5,ok
ankh_large,5,lk-mfo,lambdarank,42,0.6616908082096682,,,9.9,ok
ankh_large,5,pk-bpo,lambdarank,42,0.20615740458334644,,,437.1,ok
ankh_large,5,pk-cco,lambdarank,42,0.4261947650903235,,,95.9,ok
ankh_large,5,pk-mfo,lambdarank,42,0.15005320218391044,,,87.3,ok
ankh_large,10,nk-bpo,binary,42,0.558755012032942,,,27.3,ok
ankh_large,10,nk-cco,binary,42,0.7646266327178433,,,10.6,ok
ankh_large,10,nk-mfo,binary,42,0.7527107690916899,,,12.6,ok
ankh_large,10,lk-bpo,binary,42,0.6393089502882924,,,11.3,ok
ankh_large,10,lk-cco,binary,42,0.7724960085384626,,,5.4,ok
ankh_large,10,lk-mfo,binary,42,0.6874008408250434,,,10.4,ok
ankh_large,10,pk-bpo,binary,42,0.27519668564259314,,,404.5,ok
ankh_large,10,pk-cco,binary,42,0.26507389392527575,,,266.4,ok
ankh_large,10,pk-mfo,binary,42,0.3575509753280872,,,118.8,ok
ankh_large,10,nk-bpo,lambdarank,42,0.5589748333010108,,,17.9,ok
ankh_large,10,nk-cco,lambdarank,42,0.7592691137845792,,,16.9,ok
ankh_large,10,nk-mfo,lambdarank,42,0.7107825533760564,,,9.8,ok
ankh_large,10,lk-bpo,lambdarank,42,0.6362714125801837,,,17.5,ok
ankh_large,10,lk-cco,lambdarank,42,0.7371290362884215,,,6.3,ok
ankh_large,10,lk-mfo,lambdarank,42,0.6956642612199694,,,8.2,ok
ankh_large,10,pk-bpo,lambdarank,42,0.22335477173716609,,,539.3,ok
ankh_large,10,pk-cco,lambdarank,42,0.3750105831474252,,,211.8,ok
ankh_large,10,pk-mfo,lambdarank,42,0.1651169465154447,,,100.2,ok
esm2_150m,3,nk-bpo,binary,42,0.6526748807241369,,,45.1,ok
esm2_150m,3,nk-cco,binary,42,0.8232500728167859,,,7.5,ok
esm2_150m,3,nk-mfo,binary,42,0.7766352686471147,,,8.5,ok
esm2_150m,3,lk-bpo,binary,42,0.7037105748877762,,,7.1,ok
esm2_150m,3,lk-cco,binary,42,0.8151929361693523,,,4.4,ok
esm2_150m,3,lk-mfo,binary,42,0.7128058768545449,,,6.9,ok
esm2_150m,3,pk-bpo,binary,42,0.33581707780187847,,,441.0,ok
esm2_150m,3,pk-cco,binary,42,0.3598023047226733,,,208.6,ok
esm2_150m,3,pk-mfo,binary,42,0.4265983652824206,,,91.6,ok
esm2_150m,3,nk-bpo,lambdarank,42,0.5860303615381539,,,7.5,ok
esm2_150m,3,nk-cco,lambdarank,42,0.8033595662815595,,,3.9,ok
esm2_150m,3,nk-mfo,lambdarank,42,0.7149290477836255,,,6.3,ok
esm2_150m,3,lk-bpo,lambdarank,42,0.6740905167685042,,,4.5,ok
esm2_150m,3,lk-cco,lambdarank,42,0.7484096397620477,,,3.2,ok
esm2_150m,3,lk-mfo,lambdarank,42,0.6300201219598661,,,3.2,ok
esm2_150m,3,pk-bpo,lambdarank,42,0.2089302874900921,,,258.2,ok
esm2_150m,3,pk-cco,lambdarank,42,0.31574942633526715,,,233.6,ok
esm2_150m,3,pk-mfo,lambdarank,42,0.1761205343439225,,,96.4,ok
esm2_150m,5,nk-bpo,binary,42,0.6149384904075448,,,28.5,ok
esm2_150m,5,nk-cco,binary,42,0.8063311102428987,,,9.0,ok
esm2_150m,5,nk-mfo,binary,42,0.7527609399149877,,,11.8,ok
esm2_150m,5,lk-bpo,binary,42,0.6622832360560081,,,11.6,ok
esm2_150m,5,lk-cco,binary,42,0.7813923408121729,,,5.5,ok
esm2_150m,5,lk-mfo,binary,42,0.7014022694368421,,,10.4,ok
esm2_150m,5,pk-bpo,binary,42,0.28664639162063205,,,470.9,ok
esm2_150m,5,pk-cco,binary,42,0.2934704057888082,,,233.1,ok
esm2_150m,5,pk-mfo,binary,42,0.3899359536658008,,,104.2,ok
esm2_150m,5,nk-bpo,lambdarank,42,0.5798194198848837,,,10.1,ok
esm2_150m,5,nk-cco,lambdarank,42,0.7602236553614923,,,4.4,ok
esm2_150m,5,nk-mfo,lambdarank,42,0.7163309346499737,,,6.0,ok
esm2_150m,5,lk-bpo,lambdarank,42,0.6508652825779725,,,6.8,ok
esm2_150m,5,lk-cco,lambdarank,42,0.7466202870763257,,,3.7,ok
esm2_150m,5,lk-mfo,lambdarank,42,0.6631928945791794,,,5.5,ok
esm2_150m,5,pk-bpo,lambdarank,42,0.21405648630632876,,,307.0,ok
esm2_150m,5,pk-cco,lambdarank,42,0.33494645101419485,,,230.3,ok
